idCountry,code,year,gdp(current US$)
2,JPN,1960,44307342950.4
3,MEX,1960,13040000000.0
1,USA,1960,543300000000.0
2,JPN,1961,53508617739.37778
3,MEX,1961,14160000000.0
1,USA,1961,563300000000.0
2,JPN,1962,60723018683.73333
3,MEX,1962,15200000000.0
1,USA,1962,605100000000.0
2,JPN,1963,69498131797.33333
3,MEX,1963,16960000000.0
1,USA,1963,638600000000.0
2,JPN,1964,81749006381.51111
3,MEX,1964,20080000000.0
1,USA,1964,685800000000.0
2,JPN,1965,90950278257.77777
3,MEX,1965,21840000000.0
1,USA,1965,743700000000.0
2,JPN,1966,105628070343.11111
3,MEX,1966,24320000000.0
1,USA,1966,815000000000.0
2,JPN,1967,123781880217.6
3,MEX,1967,26560000000.0
1,USA,1967,861700000000.0
2,JPN,1968,146601072685.5111
3,MEX,1968,29360000000.0
1,USA,1968,942500000000.0
2,JPN,1969,172204199480.8889
3,MEX,1969,32480000000.0
1,USA,1969,1019900000000.0
2,JPN,1970,212609187919.44446
3,MEX,1970,35520000000.0
1,USA,1970,1073303000000.0
2,JPN,1971,240151807460.24054
3,MEX,1971,39200000000.0
1,USA,1971,1164850000000.0
2,JPN,1972,318031297492.3517
3,MEX,1972,45200000000.0
1,USA,1972,1279110000000.0
2,JPN,1973,432082670450.71857
3,MEX,1973,55280000000.0
1,USA,1973,1425376000000.0
2,JPN,1974,479625998613.4055
3,MEX,1974,72000000000.0
1,USA,1974,1545243000000.0
2,JPN,1975,521541905673.25104
3,MEX,1975,88000000000.0
1,USA,1975,1684904000000.0
2,JPN,1976,586161858999.6713
3,MEX,1976,89025974025.97403
1,USA,1976,1873412000000.0
2,JPN,1977,721411786536.8143
3,MEX,1977,81814159292.0354
1,USA,1977,2081826000000.0
2,JPN,1978,1013612173518.8416
3,MEX,1978,102500000000.0
1,USA,1978,2351599000000.0
2,JPN,1979,1055012119526.3303
3,MEX,1979,134561403508.77193
1,USA,1979,2627333000000.0
2,JPN,1980,1105385973763.8748
3,MEX,1980,205139086956.52173
1,USA,1980,2857307000000.0
2,JPN,1981,1218988935129.8066
3,MEX,1981,263959336734.69388
1,USA,1981,3207041000000.0
2,JPN,1982,1134518001884.56
3,MEX,1982,184609157801.41846
1,USA,1982,3343789000000.0
2,JPN,1983,1243323592058.8333
3,MEX,1983,156159198584.5129
1,USA,1983,3634038000000.0
2,JPN,1984,1318381627003.7576
3,MEX,1984,184261495828.3671
1,USA,1984,4037613000000.0
2,JPN,1985,1398892744820.6936
3,MEX,1985,195219789801.47916
1,USA,1985,4338979000000.0
2,JPN,1986,2078953333673.5505
3,MEX,1986,134550096436.74403
1,USA,1986,4579631000000.0
2,JPN,1987,2532808573157.031
3,MEX,1987,147540738281.81686
1,USA,1987,4855215000000.0
2,JPN,1988,3071683013178.912
3,MEX,1988,181611549975.804
1,USA,1988,5236438000000.0
2,JPN,1989,3054914166263.1807
3,MEX,1989,221400669713.58926
1,USA,1989,5641580000000.0
2,JPN,1990,3132817652848.0415
3,MEX,1990,261253582805.94467
1,USA,1990,5963144000000.0
2,JPN,1991,3584420077100.842
3,MEX,1991,313142768453.4853
1,USA,1991,6158129000000.0
2,JPN,1992,3908809463463.857
3,MEX,1992,363157598242.26953
1,USA,1992,6520327000000.0
2,JPN,1993,4454143876947.206
3,MEX,1993,500736065605.3408
1,USA,1993,6858559000000.0
2,JPN,1994,4998797547740.975
3,MEX,1994,527813238126.2777
1,USA,1994,7287236000000.0
2,JPN,1995,5545563663889.704
3,MEX,1995,360073909243.85455
1,USA,1995,7639749000000.0
2,JPN,1996,4923391533851.632
3,MEX,1996,410975595310.15607
1,USA,1996,8073122000000.0
2,JPN,1997,4492448605638.937
3,MEX,1997,500413483109.17474
1,USA,1997,8577554457000.0
2,JPN,1998,4098362709531.2407
3,MEX,1998,526502129378.28375
1,USA,1998,9062818202000.0
2,JPN,1999,4635982224063.884
3,MEX,1999,600232874042.9271
1,USA,1999,9631174489000.0
2,JPN,2000,4968359075956.591
3,MEX,2000,707906744574.6436
1,USA,2000,10250947997000.0
2,JPN,2001,4374711694090.8706
3,MEX,2001,756706300589.7905
1,USA,2001,10581929774000.0
2,JPN,2002,4182846045873.608
3,MEX,2002,772106378935.377
1,USA,2002,10929112955000.0
2,JPN,2003,4519561645253.529
3,MEX,2003,729336319677.4492
1,USA,2003,11456442041000.0
2,JPN,2004,4893116005656.559
3,MEX,2004,782240601984.7599
1,USA,2004,12217193198000.0
2,JPN,2005,4831467035389.8
3,MEX,2005,877476221382.1012
1,USA,2005,13039199193000.0
2,JPN,2006,4601663122649.921
3,MEX,2006,975387131716.0892
1,USA,2006,13815586948000.0
2,JPN,2007,4579750920354.809
3,MEX,2007,1052696282278.8748
1,USA,2007,14474226905000.0
2,JPN,2008,5106679115127.299
3,MEX,2008,1109989063586.6196
1,USA,2008,14769857911000.0
2,JPN,2009,5289493117993.89
3,MEX,2009,900045350649.3506
1,USA,2009,14478064934000.0
2,JPN,2010,5759071769013.113
3,MEX,2010,1057801295584.0457
1,USA,2010,15048964444000.0
2,JPN,2011,6233147172341.349
3,MEX,2011,1180489601957.612
1,USA,2011,15599728123000.0
2,JPN,2012,6272362996105.034
3,MEX,2012,1201089987015.4524
1,USA,2012,16253972230000.0
2,JPN,2013,5212328181166.185
3,MEX,2013,1274443084716.5674
1,USA,2013,16843190993000.0
2,JPN,2014,4896994405353.292
3,MEX,2014,1315351183524.544
1,USA,2014,17550680174000.0
2,JPN,2015,4444930651964.18
3,MEX,2015,1171867608197.7246
1,USA,2015,18206020741000.0
2,JPN,2016,5003677627544.24
3,MEX,2016,1078490651625.3127
1,USA,2016,18695110842000.0
2,JPN,2017,4930837369151.422
3,MEX,2017,1158913035796.37
1,USA,2017,19477336549000.0
2,JPN,2018,5037835383110.967
3,MEX,2018,1222408203104.296
1,USA,2018,20533057312000.0
2,JPN,2019,5123318151510.623
3,MEX,2019,1269011767478.5605
1,USA,2019,21380976119000.0
2,JPN,2020,5040107754084.106
3,MEX,2020,1090515389749.4135
1,USA,2020,21060473613000.0
2,JPN,2021,4940877780755.326
3,MEX,2021,1272839334119.2952
1,USA,2021,23315080560000.0
