id_ubicacion,participantes,year,idcountry,idsimulacro
1,126981,2015,1,1
1,126833,2016,1,1
1,126395,2017,1,1
1,140632,2018,1,1
1,176560,2019,1,1
1,134305,2020,1,1
1,107158,2021,1,1
1,110412,2022,1,1
2,74431,2015,1,1
2,66096,2016,1,1
2,111354,2017,1,1
2,121875,2018,1,1
2,88442,2019,1,1
2,31454,2020,1,1
2,47188,2021,1,1
2,70374,2022,1,1
3,10500562,2015,1,1
3,10667904,2016,1,1
3,10543917,2017,1,1
3,10343483,2018,1,1
3,10849082,2019,1,1
3,6590465,2020,1,1
3,7603849,2021,1,1
3,9591067,2022,1,1
4,5675,2015,1,1
4,2247,2016,1,1
4,1510,2017,1,1
4,9712,2018,1,1
4,13625,2019,1,1
4,8148,2020,1,1
4,1981,2021,1,1
4,9733,2022,1,1
5,244203,2015,1,1
5,236242,2016,1,1
5,66629,2017,1,1
5,85231,2018,1,1
5,42624,2019,1,1
5,22787,2020,1,1
5,28577,2021,1,1
5,31070,2022,1,1
6,125604,2015,1,1
6,81524,2016,1,1
6,93827,2017,1,1
6,83445,2018,1,1
6,80794,2019,1,1
6,47571,2020,1,1
6,61136,2021,1,1
6,80039,2022,1,1
7,167069,2015,1,1
7,114160,2016,1,1
7,142090,2017,1,1
7,135800,2018,1,1
7,119446,2019,1,1
7,87258,2020,1,1
7,102144,2021,1,1
7,99014,2022,1,1
8,634519,2015,1,1
8,593021,2016,1,1
8,598446,2017,1,1
8,600968,2018,1,1
8,592550,2019,1,1
8,540650,2020,1,1
8,542106,2021,1,1
8,596670,2022,1,1
9,16650,2015,1,1
9,17586,2016,1,1
9,6625,2017,1,1
9,3440,2018,1,1
9,8754,2019,1,1
9,4187,2020,1,1
9,685,2021,1,1
9,8403,2022,1,1
10,554814,2015,1,1
10,500326,2016,1,1
10,585727,2017,1,1
10,668914,2018,1,1
10,744299,2019,1,1
10,285997,2020,1,1
10,553006,2021,1,1
10,557114,2022,1,1
11,32463,2015,1,1
11,35903,2016,1,1
11,37958,2017,1,1
11,40148,2018,1,1
11,34592,2019,1,1
11,13238,2020,1,1
11,2010,2021,1,1
11,4472,2022,1,1
12,962305,2015,1,1
12,1003682,2016,1,1
12,1012117,2017,1,1
12,998602,2018,1,1
12,1020036,2019,1,1
12,664986,2020,1,1
12,739581,2021,1,1
12,885514,2022,1,1
13,1084030,2015,1,1
13,1101578,2016,1,1
13,1264502,2017,1,1
13,1385627,2018,1,1
13,1545326,2019,1,1
13,976158,2020,1,1
13,1362232,2021,1,1
13,1390163,2022,1,1
14,28497,2015,1,1
14,25712,2016,1,1
14,29697,2017,1,1
14,31386,2018,1,1
14,8831,2019,1,1
14,8551,2020,1,1
14,13164,2021,1,1
14,15802,2022,1,1
15,5272988,2015,2,1
15,6143332,2016,2,1
15,6668692,2017,2,1
15,6297584,2018,2,1
15,6837776,2019,2,1
15,3328410,2020,2,1
15,2131481,2021,2,1
15,4767623,2022,2,1
16,"732,982",2015,3,1
16,"732,982",2016,3,1
16,"7,735,476",2017,3,1
16,"8,731,167",2018,3,1
16,"9,730,616",2019,3,1
16,297,2020,3,1
16,"5,071,926",2021,3,1
16,"6,003,647",2022,3,1
