%,2015,2016,2017,2018,2019,2020,2021,idCountry
Hokkaido,51.0,52.4,53.3,56.6,59.1,60.6,61.8,2
Aomori,61.8,62.9,63.9,65.5,67.0,68.6,70.1,2
Iwate,66.8,67.9,69.1,70.4,72.3,73.7,75.0,2
Miyagi,86.2,86.4,86.3,86.8,87.0,87.5,88.7,2
Akita,68.5,69.5,70.8,72.0,73.3,74.4,74.8,2
Yamagata,60.9,62.5,63.3,64.8,66.3,67.9,68.7,2
Fukushima,70.5,72.2,73.1,74.1,75.2,76.7,79.3,2
Ibaraki,60.5,61.9,62.2,63.8,64.6,66.0,66.5,2
Tochigi,62.2,64.2,65.6,67.6,69.7,71.4,72.7,2
Gumma,54.7,56.6,57.6,59.9,62.2,63.9,65.0,2
Saitama,58.9,60.4,60.8,62.8,63.4,64.9,65.5,2
Chiba,56.9,58.7,59.3,61.1,62.3,63.9,64.7,2
Tokyo,56.8,58.1,58.2,59.7,60.4,61.7,62.1,2
Kanagawa,58.2,59.3,59.7,61.2,61.9,63.1,63.6,2
Niigata,62.4,64.0,65.8,68.0,69.6,71.0,72.3,2
Toyama,51.2,54.1,56.1,58.6,60.3,61.8,62.5,2
Ishikawa,53.4,56.2,57.1,59.5,60.7,62.5,63.4,2
Fukui,58.0,59.7,61.2,64.5,66.3,68.6,69.6,2
Yamanashi,67.7,69.8,70.4,71.5,73.5,74.2,74.9,2
Nagano,54.4,56.7,59.2,62.1,64.7,66.4,67.8,2
Gifu,73.1,74.6,76.1,76.9,77.7,79.3,79.1,2
Shizuoka,62.7,64.4,65.1,66.1,66.8,68.1,68.0,2
Aichi,71.1,72.9,73.7,74.1,74.6,76.6,76.2,2
Mie,64.8,66.2,67.7,69.6,71.8,72.7,73.8,2
Shiga,55.6,57.5,58.7,63.2,65.7,67.6,68.4,2
Kyoto,53.2,55.7,56.8,60.5,63.1,64.8,65.8,2
Osaka,57.5,59.0,59.8,63.9,66.5,68.5,69.6,2
Hyogo,54.3,56.2,57.8,61.9,64.6,66.9,68.1,2
Nara,61.7,63.8,64.8,68.1,70.2,72.0,73.3,2
Wakayama,59.3,61.0,61.6,64.4,67.1,68.9,70.9,2
Tottori,64.2,66.8,69.0,72.6,74.5,76.7,77.3,2
Shimane,55.5,57.8,59.1,62.7,64.1,66.1,67.6,2
Okayama,53.6,56.8,58.0,62.2,64.8,66.6,67.6,2
Hiroshima,65.7,67.0,68.0,70.7,72.6,74.4,75.5,2
Yamaguchi,57.6,60.1,61.8,64.5,66.7,68.1,68.9,2
Tokushima,72.4,73.8,73.3,74.7,75.3,75.8,76.2,2
Kagawa,66.3,68.8,70.2,72.6,74.1,75.4,76.0,2
Ehime,63.9,66.0,67.4,70.5,72.4,74.2,75.4,2
Kochi,84.2,84.8,85.2,86.2,86.8,87.2,87.8,2
Fukuoka,64.0,67.2,68.8,71.5,73.3,75.3,76.3,2
Saga,44.7,50.1,52.6,55.7,58.4,60.9,62.3,2
Nagasaki,39.2,45.0,47.5,50.1,52.0,53.6,54.4,2
Kumamoto,63.8,74.3,77.5,80.0,82.3,84.5,85.3,2
Oita,62.9,65.9,67.6,69.7,71.5,73.1,73.8,2
Miyazaki,76.3,79.0,80.3,81.4,83.0,83.7,84.2,2
Kagoshima,73.0,76.3,78.0,80.3,81.7,83.2,83.6,2
Okinawa,51.5,54.2,55.6,56.6,57.6,58.4,58.0,2
Total,60.2,62.1,63.0,65.2,66.7,68.3,69.0,2
