categoria,id_categoria
Individuals/Families,1
Childcare and Pre-Schools,2
K-12 Schools and Districts,3
Colleges and Universities,4
Local Government,5
State Government,6
Federal/National Government (Including Military),7
Tribes/Indigenous Peoples,8
Businesses,9
Hotels and Other Lodgings,10
Healthcare,11
Senior Facilities/Communities,12
Disability/AFN Organizations,13
Non-Profit Organizations,14
Neighborhood Groups,15
Preparedness Organizations,16
Faith-based Organizations,17
"Museums, Libraries, Parks, etc.",18
Volunteer/Service Clubs,19
Youth Organizations,20
Animal Shelter/Service Providers,21
Agriculture/Livestock Sector,22
Volunteer Radio Groups,23
Science/Engineering Organizations,24
Media Organizations,25
Other,26
